label,model_type,overbooking_threshold,auc,utilization,collision_rate,overbookings_per_week,waitlist_size,total_waitlist_served,avg_wait_days,mean_overbooking_burden,noshow_rate,total_collisions,total_overbooked,elapsed_seconds
no_overbooking,baseline,1.0,0.7535823282163743,0.8587570621468926,0,0.0,302,0,0.0,0.0,0.14074074074074075,0,0,0.5510590076446533
baseline,baseline,0.5,0.7398312229630313,0.8924199623352165,0.43448275862068964,33.833333333333336,6,297,1.531986531986532,0.145,0.13819444444444445,126,290,0.5456750392913818
predictor_t0.15,predictor,0.15,0.8451878695229842,0.8961864406779662,0.34415584415584416,35.93333333333334,0,309,0.0,0.154,0.1414351851851852,106,308,8.953297138214111
predictor_t0.20,predictor,0.2,0.8451878695229842,0.8961864406779662,0.34415584415584416,35.93333333333334,0,309,0.0,0.154,0.1414351851851852,106,308,8.876593828201294
predictor_t0.25,predictor,0.25,0.8495955713371606,0.8945386064030132,0.3180327868852459,35.583333333333336,0,309,0.016181229773462782,0.1525,0.14305555555555555,97,305,8.97260069847107
predictor_t0.30,predictor,0.3,0.864948952731922,0.9025423728813559,0.3164983164983165,34.65,0,298,0.17114093959731544,0.1485,0.1361111111111111,94,297,8.760426998138428
predictor_t0.40,predictor,0.4,0.8532604920153875,0.8905367231638419,0.25830258302583026,31.616666666666667,30,276,2.4094202898550723,0.1355,0.14953703703703702,70,271,8.712723970413208
predictor_t0.50,predictor,0.5,0.8620544761271121,0.8961864406779662,0.192090395480226,20.650000000000002,135,179,8.793296089385475,0.0885,0.13125,34,177,8.742089986801147
