label,model_type,overbooking_threshold,auc,utilization,collision_rate,overbookings_per_week,waitlist_size,total_waitlist_served,avg_wait_days,mean_overbooking_burden,noshow_rate,total_collisions,total_overbooked,elapsed_seconds
no_overbooking,baseline,1.0,0.7498669637356739,0.852996254681648,0,0.0,484,0,0.0,0.0,0.14722222222222223,0,0,1.1682801246643066
baseline,baseline,0.5,0.7596903389247835,0.890605493133583,0.3685446009389671,33.13333333333333,12,430,1.372093023255814,0.142,0.14336419753086418,157,426,1.168489933013916
predictor_t0.15,predictor,0.15,0.707800556733855,0.8884207240948814,0.461038961038961,35.93333333333333,0,473,0.0021141649048625794,0.154,0.13996913580246914,213,462,9.287278175354004
predictor_t0.20,predictor,0.2,0.7063977773327993,0.8817103620474408,0.49765258215962443,33.13333333333333,0,428,0.007009345794392523,0.142,0.1419753086419753,212,426,9.347087144851685
predictor_t0.25,predictor,0.25,0.7073929157063784,0.8859238451935082,0.4923413566739606,35.544444444444444,0,463,0.01079913606911447,0.15233333333333332,0.13842592592592592,225,457,9.53243374824524
predictor_t0.30,predictor,0.3,0.709336884569571,0.8803058676654183,0.45348837209302323,33.44444444444444,0,433,0.020785219399538105,0.14333333333333334,0.14753086419753086,195,430,9.392718076705933
predictor_t0.40,predictor,0.4,0.6998450697196529,0.8882646691635457,0.4801864801864802,33.36666666666667,25,435,1.4689655172413794,0.143,0.13780864197530865,206,429,9.429798126220703
predictor_t0.50,predictor,0.5,0.694224703996691,0.8759363295880149,0.47058823529411764,17.188888888888886,231,223,13.147982062780269,0.07366666666666667,0.13796296296296295,104,221,9.362428188323975
