label,model_type,overbooking_threshold,auc,utilization,collision_rate,overbookings_per_week,waitlist_size,total_waitlist_served,avg_wait_days,mean_overbooking_burden,noshow_rate,total_collisions,total_overbooked,elapsed_seconds
no_overbooking,baseline,1.0,0.7827590442847491,0.8516949152542372,0,0.0,263,0,0.0,0.0,0.1486111111111111,0,0,0.5298559665679932
baseline,baseline,0.5,0.7776632820506097,0.885593220338983,0.35161290322580646,36.166666666666664,0,311,0.729903536977492,0.155,0.14930555555555555,109,310,0.5219120979309082
predictor_t0.15,predictor,0.15,0.6800974871116418,0.8742937853107345,0.5451505016722408,34.88333333333333,0,303,0.0,0.1495,0.15069444444444444,163,299,8.652275085449219
predictor_t0.20,predictor,0.2,0.6800974871116418,0.8742937853107345,0.5451505016722408,34.88333333333333,0,303,0.0,0.1495,0.15069444444444444,163,299,8.62686014175415
predictor_t0.25,predictor,0.25,0.6800974871116418,0.8742937853107345,0.5451505016722408,34.88333333333333,0,303,0.0,0.1495,0.15069444444444444,163,299,8.607388973236084
predictor_t0.30,predictor,0.3,0.6800974871116418,0.8742937853107345,0.5451505016722408,34.88333333333333,0,303,0.0,0.1495,0.15069444444444444,163,299,8.622365236282349
predictor_t0.40,predictor,0.4,0.6737696289110229,0.8738229755178909,0.5148514851485149,35.35,1,307,0.1237785016286645,0.1515,0.1511574074074074,156,303,8.823914051055908
predictor_t0.50,predictor,0.5,0.6776095792801499,0.881120527306968,0.5734767025089605,32.550000000000004,22,281,3.6619217081850532,0.1395,0.13773148148148148,160,279,8.846041917800903
